"Country";"Language";"Reach";"Sentiment";"Key Phrases";"Keywords";"Twitter Authority";"Twitter Client";"Twitter Followers";"Twitter Following";"Alternate Date Format";"Time";"State";"City"
"San Marino";"Portuguese";2161;"Neutral";"planos de saúde,rede privada";"#useamarelo";7;"Twitter for Android";2161;915;"Jul 24, 2020";6:57 AM;"San Marino";"San Marino"
"Brazil";"Portuguese";426;"Neutral";"planos de saúde,rede privada";"#useamarelo";5;"Twitter for iPhone";426;484;"Jul 24, 2020";6:45 AM;"Mato Grosso";
"Brazil";"Portuguese";121;"Neutral";;"#useamarelo";4;"Twitter for Android";121;630;"Jul 24, 2020";6:23 AM;"Minas Gerais";"Belo Horizonte"
"Unknown";"Portuguese";5;"Negative";;"#useamarelo";1;"Twitter for Android";5;159;"Jul 24, 2020";6:16 AM;;
"Brazil";"Portuguese";3533;"Neutral";;"#useamarelo";7;"Twitter for Android";3533;1331;"Jul 24, 2020";6:15 AM;"Rio de Janeiro";"Rio de Janeiro"
"Unknown";"Portuguese";395;"Neutral";;"#useamarelo";5;"Twitter Web App";395;1326;"Jul 24, 2020";6:13 AM;;
"Unknown";"Portuguese";1222;"Neutral";;"#useamarelo";6;"Echofon";1222;507;"Jul 24, 2020";6:11 AM;;
"Brazil";"Portuguese";250;"Neutral";;"#useamarelo";4;"Twitter for Android";250;1221;"Jul 24, 2020";6:04 AM;"São Paulo";"Santo André"
"Brazil";"Portuguese";7;"Neutral";;"#useamarelo";2;"Twitter Web App";7;284;"Jul 24, 2020";6:04 AM;"Mato Grosso";
"Brazil";"Portuguese";7528933;"Neutral";;"#useamarelo";10;"mLabs - Gestão de Redes Sociais";7528933;178220;"Jul 24, 2020";6:01 AM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";834;"Neutral";;"#UseAmarelo";6;"Twitter Web App";834;434;"Jul 23, 2020";6:18 PM;;
"Unknown";"Portuguese";2;"Neutral";;"#UseAmarelo";;"Twitter for Android";2;23;"Jul 23, 2020";5:04 PM;;
"Brazil";"Portuguese";1689;"Neutral";;"#UseAmarelo";6;"Twitter for Android";1689;1424;"Jul 23, 2020";4:38 PM;"Mato Grosso";
"Unknown";"Portuguese";25;"Neutral";;"#UseAmarelo";3;"Twitter for Android";25;116;"Jul 23, 2020";4:29 PM;;
"Unknown";"Portuguese";27;"Neutral";;"#UseAmarelo";2;"Twitter Web App";27;114;"Jul 23, 2020";3:56 PM;;
"Brazil";"Portuguese";14365;"Neutral";;"#UseAmarelo";8;"Twitter for Android";14365;14554;"Jul 23, 2020";3:56 PM;"Mato Grosso";
"Brazil";"Portuguese";157;"Neutral";;"#UseAmarelo";4;"Twitter for iPhone";157;113;"Jul 23, 2020";3:52 PM;"Mato Grosso";
"Brazil";"Portuguese";67;"Neutral";;"#UseAmarelo";3;"Twitter for Android";67;351;"Jul 23, 2020";3:51 PM;"Mato Grosso";
"Antigua and Barbuda";"Portuguese";10;"Neutral";;"#UseAmarelo";2;"Twitter Web App";10;272;"Jul 23, 2020";3:46 PM;"Saint Paul";"Swetes"
"Unknown";"Portuguese";10;"Neutral";;"#UseAmarelo";1;"Twitter Web App";10;180;"Jul 23, 2020";3:39 PM;;
"Brazil";"Portuguese";241;"Neutral";;"#UseAmarelo";3;"Twitter Web App";241;321;"Jul 23, 2020";3:39 PM;"Mato Grosso";
"Brazil";"Portuguese";24764;"Neutral";;"#UseAmarelo";9;"Twitter Web App";24764;351;"Jul 23, 2020";3:38 PM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";52;"Neutral";;"#UseAmarelo";3;"Twitter Web App";52;322;"Jul 23, 2020";3:37 PM;;
"Unknown";"Portuguese";2345;"Neutral";;"#UseAmarelo";7;"Twitter Web App";2345;913;"Jul 23, 2020";3:37 PM;;
"Brazil";"Portuguese";245;"Neutral";;"#UseAmarelo";4;"Twitter Web App";245;313;"Jul 23, 2020";3:36 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";18;"Neutral";;"#UseAmarelo";2;"Twitter Web App";18;98;"Jul 23, 2020";3:36 PM;"Santa Catarina";"Joinville"
"Brazil";"Portuguese";374;"Neutral";;"#UseAmarelo";5;"Twitter for iPhone";374;224;"Jul 23, 2020";3:35 PM;"Mato Grosso";
"Brazil";"Portuguese";5355;"Neutral";;"#UseAmarelo";7;"Twitter Web App";5355;4925;"Jul 23, 2020";3:34 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";3618;"Neutral";;"#UseAmarelo";7;"Twitter for Android";3618;3050;"Jul 23, 2020";3:33 PM;"Pará";"Belém"
"Brazil";"Portuguese";928;"Neutral";;"#UseAmarelo";5;"Twitter Web App";928;2867;"Jul 23, 2020";3:33 PM;"Bahia";"Salvador"
"Unknown";"Portuguese";2;"Neutral";;"#UseAmarelo";1;"Twitter for Android";2;53;"Jul 23, 2020";3:33 PM;;
"Unknown";"Portuguese";1831;"Neutral";;"#UseAmarelo";6;"TweetDeck";1831;849;"Jul 23, 2020";3:33 PM;;
"Unknown";"Portuguese";89;"Neutral";;"#UseAmarelo";3;"Twitter Web App";89;228;"Jul 23, 2020";3:33 PM;;
"Unknown";"Portuguese";300;"Neutral";;"#UseAmarelo";4;"Twitter Web App";300;617;"Jul 23, 2020";3:31 PM;;
"Brazil";"Portuguese";7529006;"Neutral";;"#UseAmarelo";10;"mLabs - Gestão de Redes Sociais";7529006;178225;"Jul 23, 2020";3:30 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";374;"Neutral";;"#useamarelo";5;"Twitter Web App";374;2029;"Jul 23, 2020";10:28 AM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";521;"Neutral";;"#UseAmarelo";5;"Twitter for iPhone";521;573;"Jul 23, 2020";10:23 AM;;
"Unknown";"Portuguese";255;"Positive";;"#useamarelo";4;"Twitter Web App";255;506;"Jul 23, 2020";10:02 AM;;
"Unknown";"Portuguese";305;"Neutral";;"#useamarelo";5;"Twitter for iPhone";305;1072;"Jul 23, 2020";9:24 AM;;
"Brazil";"Portuguese";410;"Neutral";;"#useamarelo";5;"Twitter for Android";410;1544;"Jul 23, 2020";9:04 AM;"Pernambuco";"Recife"
"Brazil";"Portuguese";410;"Negative";"paz relativa";"#UseAmarelo";5;"Twitter for Android";410;1544;"Jul 23, 2020";9:04 AM;"Pernambuco";"Recife"
"Brazil";"Portuguese";24;"Negative";"paz relativa";"#UseAmarelo";2;"Twitter Web App";24;41;"Jul 23, 2020";8:30 AM;"Rio Grande do Sul";"Rio Grande"
"Unknown";"Portuguese";868;"Negative";"paz relativa";"#UseAmarelo";5;"Twitter for Android";868;1319;"Jul 23, 2020";8:19 AM;;
"Brazil";"Portuguese";7528756;"Negative";"paz relativa";"#UseAmarelo";10;"mLabs - Gestão de Redes Sociais";7528756;178227;"Jul 23, 2020";8:06 AM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";12;"Neutral";;"#useamarelo";1;"Twitter for Android";12;183;"Jul 23, 2020";7:39 AM;;
"Unknown";"Portuguese";199;"Neutral";"imposto  digital,milhões de consumidores";"#useamarelo";4;"Twitter for Android";199;229;"Jul 23, 2020";7:11 AM;;
"Unknown";"Portuguese";28143;"Neutral";;"#useamarelo";8;"Twitter Web App";28143;25075;"Jul 23, 2020";6:47 AM;;
"Brazil";"Portuguese";2599;"Neutral";;"#useamarelo";6;"Twitter for iPhone";2599;4492;"Jul 23, 2020";6:39 AM;"Minas Gerais";"Belo Horizonte"
"Brazil";"Portuguese";60;"Neutral";;"#useamarelo";3;"Twitter for Android";60;2077;"Jul 23, 2020";6:31 AM;"Mato Grosso";
"Brazil";"Portuguese";3533;"Neutral";;"#useamarelo";7;"Twitter for Android";3533;1330;"Jul 23, 2020";6:25 AM;"Rio de Janeiro";"Rio de Janeiro"
"Brazil";"Portuguese";122;"Neutral";;"#useamarelo";4;"Twitter for Android";122;630;"Jul 23, 2020";6:17 AM;"Minas Gerais";"Belo Horizonte"
"Brazil";"Portuguese";7528705;"Neutral";;"#useamarelo";10;"mLabs - Gestão de Redes Sociais";7528705;178227;"Jul 23, 2020";6:01 AM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";14894;"Negative";;"#useamarelo";8;"Twitter Web App";14894;12060;"Jul 22, 2020";5:50 PM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";14;"Neutral";;"#UseAmarelo";1;"Twitter for Android";14;381;"Jul 22, 2020";5:29 PM;;
"Unknown";"Portuguese";333;"Neutral";;"#UseAmarelo";5;"Twitter for Android";333;4999;"Jul 22, 2020";3:14 PM;;
"Unknown";"Portuguese";216;"Neutral";;"#UseAmarelo";4;"Twitter for Android";216;164;"Jul 22, 2020";2:05 PM;;
"Unknown";"Portuguese";367;"Neutral";;"#UseAmarelo";5;"Twitter for iPhone";367;2058;"Jul 22, 2020";2:03 PM;;
"Brazil";"Portuguese";7528346;"Neutral";;"#UseAmarelo";10;"mLabs - Gestão de Redes Sociais";7528346;178238;"Jul 22, 2020";2:02 PM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";90;"Neutral";"novos talentos artísticos";"#UseAmarelo";3;"Twitter for Android";90;414;"Jul 22, 2020";12:25 PM;;
"Unknown";"Portuguese";35;"Neutral";"charges do jornal,menes suecos";"#UseAmarelo";1;"Twitter for Android";35;49;"Jul 22, 2020";12:13 PM;;
"Unknown";"Portuguese";30;"Positive";"sensação mto positiva";"#UseAmarelo";2;"Twitter Web App";30;93;"Jul 22, 2020";11:43 AM;;
"Brazil";"Portuguese";895;"Negative";;"#UseAmarelo";5;"Twitter Web App";895;1766;"Jul 22, 2020";11:41 AM;"Rio Grande do Norte";"Natal"
"Brazil";"Portuguese";169;"Neutral";"charges do jornal";"#UseAmarelo";4;"Twitter for iPhone";169;1030;"Jul 22, 2020";11:37 AM;;
"Unknown";"Portuguese";78;"Neutral";"charges do jornal";"#UseAmarelo";3;"Twitter for Android";78;947;"Jul 22, 2020";10:09 AM;;
"Brazil";"Portuguese";2294;"Neutral";;"#useamarelo";7;"Alpha-sun";2294;8;"Jul 22, 2020";10:07 AM;;
"Brazil";"Portuguese";374;"Neutral";;"#useamarelo";5;"Twitter Web App";374;2026;"Jul 22, 2020";10:06 AM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";306;"Neutral";;"#useamarelo";5;"Twitter for iPhone";306;1072;"Jul 22, 2020";9:35 AM;;
"Unknown";"Portuguese";2134;"Negative";"Trump mascarado,reeleição do republicano";"#UseAmarelo";6;"Twitter Web App";2134;4313;"Jul 22, 2020";9:06 AM;;
"Angola";"Portuguese";10226;"Negative";"Trump mascarado,reeleição do republicano";"#UseAmarelo";8;"Twitter Web App";10226;6179;"Jul 22, 2020";8:22 AM;;
"Angola";"Portuguese";10226;"Negative";"Trump mascarado,reeleição do republicano";"#UseAmarelo";8;"Twitter Web App";10226;6179;"Jul 22, 2020";8:20 AM;;
"Argentina";"Portuguese";1239;"Negative";"Trump mascarado,reeleição do republicano";"#UseAmarelo";6;"Twitter for Android";1239;703;"Jul 22, 2020";8:20 AM;"Cordoba";"Córdoba"
"Brazil";"Portuguese";428;"Negative";"Trump mascarado,reeleição do republicano";"#UseAmarelo";5;"Twitter for Android";428;833;"Jul 22, 2020";8:09 AM;"Rio de Janeiro";
"Brazil";"Portuguese";2004;"Negative";"Trump mascarado,reeleição do republicano";"#UseAmarelo";6;"Twitter for Android";2004;5002;"Jul 22, 2020";8:06 AM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";89;"Negative";"Trump mascarado,reeleição do republicano";"#UseAmarelo";4;"compartilhe sua arte";89;;"Jul 22, 2020";8:06 AM;;
"United Kingdom";"Portuguese";77;"Negative";"reeleição do republicano";"#UseAmarelo";4;"Bot Cotidiano";77;;"Jul 22, 2020";8:05 AM;"England";"Street"
"Brazil";"Portuguese";7528052;"Negative";"Trump mascarado,reeleição do republicano";"#UseAmarelo";10;"mLabs - Gestão de Redes Sociais";7528052;178244;"Jul 22, 2020";8:05 AM;"São Paulo";"São Paulo"
"Saint Vincent And The Grenedines";"Portuguese";233;"Neutral";;"#useamarelo";4;"Twitter for Android";233;305;"Jul 22, 2020";7:03 AM;"Saint George";"Kingstown"
"Unknown";"Portuguese";312;"Neutral";;"#useamarelo";5;"Twitter for Android";312;205;"Jul 22, 2020";6:58 AM;;
"Unknown";"Portuguese";28163;"Neutral";;"#useamarelo";8;"Twitter Web App";28163;25064;"Jul 22, 2020";6:56 AM;;
"Brazil";"Portuguese";32;"Neutral";;"#useamarelo";3;"Twitter for Android";32;69;"Jul 22, 2020";6:29 AM;"São Paulo";"Santos"
"Brazil";"Portuguese";122;"Neutral";;"#useamarelo";4;"Twitter for Android";122;630;"Jul 22, 2020";6:21 AM;"Minas Gerais";"Belo Horizonte"
"Brazil";"Portuguese";3531;"Neutral";;"#useamarelo";7;"Twitter for Android";3531;1328;"Jul 22, 2020";6:20 AM;"Rio de Janeiro";"Rio de Janeiro"
"Unknown";"Portuguese";68;"Negative";"carlos bolsomaro,dinheiro vivo,esposa do bolsonaro,gab do odio";"#useamarelo";3;"Twitter for Android";68;121;"Jul 22, 2020";6:08 AM;;
"Unknown";"Portuguese";50;"Neutral";;"#useamarelo";3;"Twitter for iPhone";50;236;"Jul 22, 2020";6:07 AM;;
"Brazil";"Portuguese";60;"Neutral";;"#useamarelo";3;"Twitter for Android";60;2077;"Jul 22, 2020";6:06 AM;"Mato Grosso";
"Brazil";"Portuguese";281;"Neutral";;"#useamarelo";4;"Twitter for Android";281;861;"Jul 22, 2020";6:06 AM;"Paraíba";
"Brazil";"Portuguese";21;"Neutral";;"#useamarelo";2;"Twitter Web App";21;276;"Jul 22, 2020";6:04 AM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";339;"Neutral";;"#useamarelo";5;"Twitter for iPhone";339;2206;"Jul 22, 2020";6:03 AM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";7528043;"Neutral";;"#useamarelo";10;"mLabs - Gestão de Redes Sociais";7528043;178244;"Jul 22, 2020";6:01 AM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";83;"Neutral";"charges do jornal";"#UseAmarelo";3;"Twitter for Android";83;337;"Jul 22, 2020";2:20 AM;"Rio de Janeiro";"Rio de Janeiro"
"Brazil";"Portuguese";74;"Neutral";"curso online gratuito,grave amnésia";"#UseAmarelo";3;"Twitter for Android";74;506;"Jul 22, 2020";1:16 AM;"Maranhão";"São Luís"
"Brazil";"Portuguese";182;"Negative";"mulher negra,sintoma do estímulo político";"#UseAmarelo";4;"Twitter for iPhone";182;303;"Jul 22, 2020";12:12 AM;"Minas Gerais";"Conceição das Alagoas"
"Brazil";"Portuguese";3804;"Positive";;"#UseAmarelo";7;"Twitter for iPhone";3804;4171;"Jul 21, 2020";11:50 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";189;"Neutral";"charges do jornal";"#UseAmarelo";4;"Twitter for Android";189;197;"Jul 21, 2020";11:23 PM;"Mato Grosso do Sul";"Campo Grande"
"Brazil";"Portuguese";712;"Neutral";;"#UseAmarelo";5;"Twitter for Android";712;1099;"Jul 21, 2020";11:17 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";114;"Neutral";;"#UseAmarelo";4;"Twitter for iPhone";114;39;"Jul 21, 2020";10:41 PM;;
"Unknown";"Portuguese";186;"Neutral";"charges do jornal";"#UseAmarelo";4;"Twitter for Android";186;296;"Jul 21, 2020";10:32 PM;;
"Brazil";"Portuguese";346;"Positive";"sensação mto positiva";"#UseAmarelo";5;"Twitter for Android";346;565;"Jul 21, 2020";10:09 PM;"Rio de Janeiro";"Rio de Janeiro"
"Brazil";"Portuguese";346;"Neutral";"charges do jornal";"#UseAmarelo";5;"Twitter for Android";346;565;"Jul 21, 2020";10:09 PM;"Rio de Janeiro";"Rio de Janeiro"
"Unknown";"Portuguese";1093;"Neutral";;"#UseAmarelo";5;"Twitter for iPhone";1093;3668;"Jul 21, 2020";9:21 PM;;
"Brazil";"Filipino";1082;"Not Rated";;"#UseAmarelo";6;"Twitter for Android";1082;614;"Jul 21, 2020";8:40 PM;"Mato Grosso";
"United States";"Portuguese";186;"Neutral";"charges do jornal";"#UseAmarelo";3;"Twitter for Android";186;215;"Jul 21, 2020";6:53 PM;"Maine";
"Unknown";"Portuguese";567;"Neutral";;"#UseAmarelo";5;"Twitter for Android";567;733;"Jul 21, 2020";6:24 PM;;
"Unknown";"Portuguese";65;"Neutral";"charges do jornal";"#UseAmarelo";3;"Twitter for Android";65;520;"Jul 21, 2020";5:42 PM;;
"Brazil";"Portuguese";19;"Negative";;"#UseAmarelo";2;"Twitter for Android";19;115;"Jul 21, 2020";5:41 PM;"Rio Grande do Sul";"Rio Grande"
"Unknown";"Portuguese";3597;"Neutral";"charges do jornal";"#UseAmarelo";7;"Twitter for Android";3597;127;"Jul 21, 2020";5:40 PM;;
"Unknown";"Portuguese";36;"Neutral";"charges do jornal";"#UseAmarelo";2;"Twitter Web App";36;206;"Jul 21, 2020";5:37 PM;;
"Unknown";"Portuguese";7;"Neutral";;"#UseAmarelo";1;"Twitter for Android";7;21;"Jul 21, 2020";4:46 PM;;
"Unknown";"Portuguese";14;"Neutral";;"#UseAmarelo";1;"Twitter Web App";14;144;"Jul 21, 2020";3:35 PM;;
"Brazil";"Portuguese";411;"Neutral";;"#useamarelo";5;"Twitter for Android";411;1543;"Jul 21, 2020";3:15 PM;"Pernambuco";"Recife"
"Unknown";"Portuguese";979;"Neutral";"charges do jornal";"#UseAmarelo";6;"Twitter for Android";979;470;"Jul 21, 2020";3:00 PM;;
"Brazil";"Portuguese";509;"Neutral";"? terça";"#useamarelo";5;"Twitter for Android";509;5000;"Jul 21, 2020";1:46 PM;"Ceará";"Fortaleza"
"Brazil";"Portuguese";2289;"Neutral";"? terça";"#useamarelo";7;"Alpha-sun";2289;8;"Jul 21, 2020";1:42 PM;;
"Brazil";"Portuguese";374;"Neutral";"? terça";"#useamarelo";5;"Twitter Web App";374;2026;"Jul 21, 2020";1:42 PM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";1;"Neutral";;"#UseAmarelo";1;"Twitter Web App";1;42;"Jul 21, 2020";1:14 PM;;
"Brazil";"Portuguese";213;"Neutral";;"#UseAmarelo";4;"Twitter for Android";213;152;"Jul 21, 2020";1:11 PM;"Ceará";"Fortaleza"
"Brazil";"Portuguese";118;"Positive";"recursos do fundo";"#UseAmarelo";4;"Twitter Web App";118;700;"Jul 21, 2020";1:06 PM;"Minas Gerais";"Nova Lima"
"Brazil";"Portuguese";300;"Neutral";;"#UseAmarelo";4;"Twitter for Android";300;355;"Jul 21, 2020";12:04 PM;"Espírito Santo";"Vitória"
"Unknown";"Portuguese";0;"Neutral";;"#UseAmarelo";1;"Twitter Web App";;41;"Jul 21, 2020";11:55 AM;;
"Unknown";"Portuguese";17;"Neutral";;"#UseAmarelo";2;"Twitter for Android";17;155;"Jul 21, 2020";11:52 AM;;
"Brazil";"Portuguese";90;"Neutral";;"#useamarelo";4;"Twitter Web App";90;226;"Jul 21, 2020";11:46 AM;"Paraíba";"João Pessoa"
"Spain";"Portuguese";1044;"Neutral";;"#UseAmarelo";6;"Twitter Web App";1044;271;"Jul 21, 2020";11:41 AM;"Catalonia";"Barcelona"
"Brazil";"Portuguese";113;"Neutral";;"#UseAmarelo";4;"TweetDeck";113;410;"Jul 21, 2020";11:40 AM;;
"Brazil";"Portuguese";254;"Neutral";;"#UseAmarelo";4;"Twitter Web App";254;247;"Jul 21, 2020";11:33 AM;"Bahia";"Salvador"
"Brazil";"Portuguese";1685;"Neutral";;"#UseAmarelo";6;"Twitter for Android";1685;1421;"Jul 21, 2020";11:24 AM;;
"Brazil";"Portuguese";34;"Neutral";;"#UseAmarelo";2;"Twitter Web App";34;96;"Jul 21, 2020";11:22 AM;"Rio Grande do Sul";"Porto Alegre"
"Brazil";"Portuguese";140;"Neutral";;"#UseAmarelo";4;"Twitter for Android";140;82;"Jul 21, 2020";11:21 AM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";8;"Neutral";;"#UseAmarelo";2;"Twitter for Android";8;186;"Jul 21, 2020";11:21 AM;;
